,fertility_rate,final_monkey_num
0,7.386341058970852,743
1,7.215853308477343,718
2,5.030103568730631,744
3,8.061550592203417,736
4,1.0202164765081223,770
5,2.434652611295327,771
6,3.9049252205295097,736
7,8.397479544002074,731
8,6.756575278967563,701
9,7.766288798975236,672
10,1.2230219407597862,770
11,8.430512594813592,693
12,2.550136883781162,758
13,2.9994216996206395,751
14,4.8960893412520035,672
15,6.2422430449036534,692
16,3.9271411020440397,740
17,1.010185781864529,736
18,8.824483477768668,703
19,4.403978694241349,683
20,1.6490171209043814,742
21,8.009683136272066,742
22,7.145573282272928,699
23,2.6344908496511117,747
24,7.927879401388789,778
25,8.78742202328623,750
26,3.0904355619913644,747
27,8.138393446113193,771
28,1.7088940432804203,810
29,2.392656410607077,750
